System	Name	Year	Players	Input	Buttons	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites
arcade	Marvel Super Heroes Vs. Street Fighter	1997	2	joy8way	6	No	Capcom	Yes	Yes
arcade	Marvel Vs. Capcom 2: New Age of Heroes	2000	2	joy8way	6	No	Capcom / Marvel	No	Yes
arcade	Marvel Vs. Capcom: Clash of Super Heroes	1998	2	joy8way	6	No	Capcom	Yes	Yes
arcade	Matrimelee	2002	2	joy8way	4	No	Noise Factory / Atlus	No	Yes
arcade	Mazinger Z	1994	2	joy8way	3	Yes	Banpresto / Dynamic Pl. Toei Animation	No	Yes
arcade	Mechanized Attack	1989	2	lightgun	2	No	SNK	Yes	No
arcade	Mega Man 2: The Power Fighters	1996	2	joy8way	3	No	Capcom	No	Yes
arcade	Mega Twins	1990	2	joy8way	3	No	Capcom	No	Yes
arcade	Mercs	1990	3	joy8way	2	Yes	Capcom	Yes	Yes
arcade	Metal Slug 2 Turbo (NGM-9410)	2015	2	joy8way	4	No	hack / trap15	No	Yes
arcade	Metal Slug 3	2000	2	joy8way	4	No	SNK	Yes	Yes
arcade	Metal Slug 4	2002	2	joy8way	4	No	Mega / Noise Factory	Yes	Yes
arcade	Metal Slug 5	2003	2	joy8way	4	No	SNK Playmore / SNK	Yes	Yes
arcade	Metal Slug X: Super Vehicle-001	1999	2	joy8way	4	No	SNK	Yes	Yes
arcade	Metal Slug: Super Vehicle-001	1996	2	joy8way	4	No	Nazca / Nazca Corporation	Yes	Yes
arcade	Metro-Cross	1985	2	joy8way	1	No	Namco	Yes	No
arcade	Michael Jackson's Moonwalker (World)	1990	3	joy8way	3	No	SEGA	Yes	Yes
arcade	Midnight Resistance	1989	2	positional / joy8way	2	No	Data East	Yes	Yes
arcade	Mighty! Pang	2000	2	joy8way	1	No	Mitchell / Capcom	No	Yes
arcade	Mikie	1984	2	joy4way	2	Yes	Konami	Yes	Yes
arcade	Mille Miglia 2: Great 1000 Miles Rally	1995	2	joy8way / paddle / dial	8	No	Kaneko	No	Yes
arcade	Millipede	1982	2	joy8way / trackball	1	Yes	Atari	Yes	Yes
arcade	Missile Command	1980	2	trackball	3	No	Atari	Yes	Yes
arcade	Moon Cresta	1980	2	joy2way	1	Yes	Nichibutsu	Yes	Yes
arcade	Moon Patrol	1982	2	joy2way	2	No	Irem	Yes	Yes
arcade	Mortal Kombat	1992	2	joy8way	6	No	Midway	Yes	Yes
arcade	Mortal Kombat 2	1993	2	joy8way	6	No	Midway	Yes	Yes
